Ticker
AAPL
MSFT
NVDA
GOOGL
AMZN
META
BRK.B
TSLA
AVGO
LLY
WMT
JPM
V
MA
XOM
COST
PG
JNJ
ORCL
HD
UNH
MRK
CVX
PEP
ABBV
BAC
KO
TMO
ADBE
MCD
CRM
INTC
ACN
CSCO
AMD
NFLX
LIN
ABT
DHR
DIS
QCOM
AMAT
TMUS
CMCSA
TXN
NEE
NKE
BMY
UPS
PM
LOW
CAT
BA
VRTX
GE
UNP
HON
PFE
INTU
MS
SPGI
NOW
AXP
AMGN
ISRG
PLD
T
BKNG
ELV
REGN
MDT
LRCX
ZTS
GS
ADP
CI
DE
LMT
BLK
SYK
MO
PANW
TJX
CVS
SCHW
MU
CB
C
USB
MMC
ADI
BDX
GILD
DUK
SO
CL
FDX
PGR
HCA
APD
