Industry Code,2005-1,2005-2,2005-3,2005-4,2006-1,2006-2,2006-3,2006-4,2007-1,2007-2,2007-3,2007-4,2008-1,2008-2,2008-3,2008-4,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020--2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4,2022-1,2022-2,2022-3,2022-4,2023-1,2023-2,2023-3,2023-4,2024-1,2024-2,2024-3
5415,210.8,218,221.5,221,225.7,227.3,229.7,239.1,243.7,254.8,263,266.3,278.5,282,286.4,280.9,272.4,277.3,280.6,288.5,297,297.1,309.4,316.6,318.5,325.7,333.8,345.8,351.7,354.8,352.5,357.9,365.1,358.8,366.2,371.3,380.5,385.9,399,400.5,399.9,398.4,401.7,406.2,418.5,430.7,442.1,444.6,459.2,474.9,478.5,491.6,500,516.1,526.1,534.8,515.7,528.8,536.1,546.8,557.7,544.2,538.6,564,584.1,606.7,621.7,630.6,649.3,670.3,690.1,695.6,712.5,709.5,689.9,712.8,718,730.5,743.4
55,345.6,349.6,359.9,364.2,371.8,380.5,383.2,399.1,428.7,431.6,435,438.6,432.7,432.7,434.7,430.3,385.4,397.6,407.7,410.3,410.5,416.2,424.1,437.8,452.5,449.2,442.5,441.8,463.9,463,477.7,510.8,487.4,496.6,493.6,494.1,517.5,508.8,516.2,532.1,542.9,543.7,540.8,541.8,538.7,540.1,540.9,544.7,552.1,559.4,569,594,591.5,591.6,611.1,609.5,628.3,633.2,629.7,635.7,635,621.2,630.2,669.4,669.6,694.4,679,710.2,727.2,753,771.4,772.9,770.6,777.3,790.9,798.2,815.3,832.7,860.1
56,560.9,576.8,582.7,600.7,615.5,615.4,623.1,637.4,644.9,666.3,672.6,677.9,690.4,687,683.2,668.4,639,625,628.3,643.1,652.8,668.7,675.8,691.1,697.5,711.1,719,717.6,733.2,731.2,753.4,762.7,737.8,773.2,785.8,814.1,831.5,846.4,852.8,882,890,899.5,915,918.2,938.3,974.3,999.8,1013.7,1038.3,1052.1,1059,1071.4,1094.6,1130,1158.1,1177.5,1178,1199.2,1230.6,1245.9,1220.8,1063.5,1134.1,1184.6,1212.3,1249.2,1312.2,1380.5,1439.8,1482.3,1482.7,1470.9,1503,1500.3,1484.4,1484,1496.5,1507.2,1524.5
561,498.6,512.6,514.5,528.3,543,541.5,549.7,563.4,568.7,590.4,596,600.5,610.6,606.4,605,588.9,566.1,552.5,553.2,564.3,573.4,584.5,592.1,608.7,614.1,628.9,634.6,634.8,649.1,647.6,670.4,679.1,653.4,686.8,698.2,724.6,741,752.5,757.7,785.1,797.1,803.7,817.4,818.8,836.5,871.1,893.8,904,925.3,937.3,942.4,953.4,975.1,1009.2,1033.2,1048.9,1050.1,1071.2,1101.3,1118,1090.1,942.9,1005.8,1051.2,1076.2,1111.4,1169.1,1232.3,1292.2,1325.8,1324.7,1311.2,1337.3,1335.2,1317.8,1314,1324,1332,1343.5
562,62.3,64.2,68.1,72.3,72.4,73.9,73.4,74,76.2,75.9,76.5,77.4,79.8,80.5,78.2,79.5,72.9,72.5,75.2,78.8,79.4,84.2,83.7,82.4,83.4,82.2,84.4,82.8,84.1,83.6,83,83.6,84.4,86.4,87.6,89.5,90.6,93.9,95.1,96.9,92.9,95.8,97.6,99.4,101.7,103.2,106,109.8,113.1,114.8,116.6,118,119.5,120.7,124.9,128.6,127.9,128,129.3,127.9,130.8,120.6,128.3,133.4,136.1,137.7,143.2,148.2,147.6,156.5,157.9,159.7,165.7,165.1,166.6,170,172.5,175.3,181
6,1542.9,1565.4,1593.4,1616.7,1641.6,1665.8,1686.8,1706.8,1746.1,1761.9,1792.3,1825.2,1859.1,1886.8,1914.1,1936.8,1959.2,1988.3,2016.3,2029.4,2047.3,2081.4,2113.8,2124,2142.7,2169.8,2182.9,2203,2249.7,2257.5,2267.9,2292.5,2285.3,2302.9,2317.4,2338.2,2323.1,2364.7,2408.4,2449.2,2464.8,2495,2543.9,2553.2,2585.3,2629.4,2643.4,2682.4,2714.1,2723.1,2754.2,2785.9,2805.7,2833.2,2867.9,2888.5,2931.2,2978,3009.2,3024.6,2982.4,2665.6,2918.5,3010.3,3039.6,3142,3236.9,3317.8,3368.9,3410,3504.5,3551.7,3663.7,3725.7,3782.3,3871.6,3973.1,4044,4129.2
61,191.6,193.3,195.9,199.5,205.4,210.9,215,222.4,229.6,234.3,238.3,244.4,248.5,253.8,261.4,265.4,269.2,271,274.8,279.1,285.9,292.5,294.9,298.3,301.8,305.6,307.8,310.6,310.4,307.2,309.7,311.2,314.8,318.9,321.4,322.3,324.5,328.2,331.7,334.2,336.1,339.7,340,343,345.5,351.4,350.3,352.3,353.9,356,359.2,360.8,364.7,368.5,371.4,373.4,380.5,382.8,383.6,385.7,382.5,334.7,355.5,354,363.5,378.2,392.5,407.1,418.1,430.1,446.8,452.8,463.2,469.9,477.5,482.8,491.1,496.8,503.3
62,1351.3,1372.2,1397.5,1417.2,1436.2,1454.9,1471.7,1484.4,1516.5,1527.6,1554,1580.9,1610.6,1633,1652.7,1671.4,1690,1717.3,1741.5,1750.3,1761.4,1788.9,1818.9,1825.7,1840.9,1864.2,1875.1,1892.4,1939.3,1950.3,1958.2,1981.4,1970.5,1984,1996,2016,1998.6,2036.6,2076.7,2115,2128.7,2155.3,2203.9,2210.2,2239.8,2277.9,2293,2330.1,2360.2,2367.1,2395,2425.1,2441,2464.7,2496.5,2515.1,2550.7,2595.1,2625.6,2638.9,2600,2330.9,2563,2656.3,2676.1,2763.8,2844.4,2910.7,2950.7,2979.9,3057.7,3098.9,3200.5,3255.8,3304.8,3388.8,3482,3547.2,3625.9
621,631.2,638.9,646.6,655,659.7,668.7,677,682.3,697,702.3,711.8,721.1,731.9,740.9,752.1,758.1,762.1,773.6,779.8,778.7,784.3,796.8,816,816.3,824.2,832.1,838.1,840.8,864.6,868.7,861.9,881.9,864,871.2,872.7,882.4,882.7,901.2,917.3,932,931.5,946.9,978.8,977.4,995.6,1012.9,1012.2,1039.8,1055.8,1064.7,1079.4,1089.5,1098,1100.1,1114.1,1124.5,1137,1160,1172,1180.2,1150.4,964.6,1129.9,1179.5,1185.6,1229.3,1273,1295.8,1319,1328.7,1360.7,1378.1,1438.8,1456.6,1482.3,1520.9,1565.6,1600.9,1635.9
622,456.7,464,476.8,481.7,491.9,500.3,506,510.7,521.5,522.2,532.2,544.2,557,565.6,572.7,582.1,594.6,604.5,617.9,627.3,623.4,635,642.4,646.8,656.7,665.4,669.5,679.7,698.3,704.5,717.4,717.4,721.3,728.3,731.6,740.8,721.8,736.5,747.7,764.3,777.3,784,796.5,799.7,808.1,818.2,826.3,832.8,841.7,839.4,844.7,858.9,866.8,883.1,893,891.7,909.9,928.6,940.1,946.2,932.7,875.2,923.1,950.8,968.2,996.5,1024.7,1050.8,1062.7,1070.7,1094.1,1111.7,1130.6,1154.3,1165.9,1192.6,1226.5,1249.3,1284.6
